"filename", "language", "PHP", "HTML (Twig)", "YAML", "JSON", "comment", "blank", "total"
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\backend\config\packages\validator.yaml", "YAML", 0, 0, 6, 0, 4, 2, 12
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\backend\config\preload.php", "PHP", 4, 0, 0, 0, 0, 2, 6
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\backend\config\routes.yaml", "YAML", 0, 0, 7, 0, 0, 0, 7
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\backend\config\routes\api_platform.yaml", "YAML", 0, 0, 4, 0, 0, 1, 5
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\backend\config\routes\framework.yaml", "YAML", 0, 0, 4, 0, 0, 1, 5
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\backend\config\routes\security.yaml", "YAML", 0, 0, 3, 0, 0, 1, 4
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\backend\config\services.yaml", "YAML", 0, 0, 12, 0, 9, 6, 27
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\backend\public\index.php", "PHP", 6, 0, 0, 0, 0, 4, 10
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\backend\src\Command\AddCryptoProductsCommand.php", "PHP", 56, 0, 0, 0, 1, 16, 73
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\backend\src\Command\CreateUserCommand.php", "PHP", 42, 0, 0, 0, 1, 13, 56
